date,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns_prc,high_low_diff_mean,high_low_diff_std,open_close_diff_mean,open_close_diff_std,high_low_diff,lag_1_high_low_diff,lag_2_high_low_diff,lag_3_high_low_diff,open_close_diff,lag_1_open_close_diff,lag_2_open_close_diff,lag_3_open_close_diff,volume,lag_1_volume,lag_2_volume,lag_3_volume,adj_close,lag_1_adj_close,lag_2_adj_close,lag_3_adj_close
2019-07-19,2019,7,19,3,0,0,-6.667,1.035,0.768,-0.1,1.222,-0.761,-0.371,1.132,-0.273,0.45,0.696,-1.146,0.082,-0.796,-0.326,1.122,-0.426,-0.577,-0.577,1.155,1.155
2019-07-22,2019,7,22,3,0,0,-12.766,0.7,0.229,0.7,0.229,0.873,-1.091,0.218,5.259,0.873,-1.091,0.218,-9.602,-0.435,-0.709,1.144,6.856,1.155,-0.577,-0.577,3.753
2019-07-23,2019,7,23,3,0,0,-1.923,0.85,0.377,0.5,0.377,0.927,0.132,-1.06,-0.265,-0.927,1.06,-0.132,0.662,1.15,-0.489,-0.661,0.508,1.109,-0.277,-0.832,-0.832
2019-07-24,2019,7,24,3,0,0,0.0,1.1,0.173,0.35,0.482,0.577,0.577,-1.155,-3.753,-0.726,-0.415,1.141,0.207,0.972,0.055,-1.026,-1.14,0.577,0.577,-1.155,-1.848
2019-07-25,2019,7,25,3,0,0,-17.117,1.44,0.416,0.43,0.619,1.155,-0.577,-0.577,-1.299,1.146,-0.694,-0.452,0.759,-0.54,1.154,-0.614,-2.697,-1.155,0.577,0.577,-0.562
2019-07-26,2019,7,26,3,0,0,14.151,1.415,0.439,0.005,1.133,-0.661,1.15,-0.49,-0.49,-0.998,1.002,-0.004,0.128,-1.057,0.127,0.93,0.092,0.68,-1.148,0.468,0.468
2019-07-29,2019,7,29,3,0,0,-20.843,1.495,0.4,0.45,1.367,-0.137,-0.924,1.062,-0.737,0.647,-1.152,0.505,-0.329,-0.542,-0.612,1.154,2.351,-0.724,1.141,-0.417,0.96
2019-07-30,2019,7,30,3,0,0,2.642,0.925,0.639,0.0,1.243,-1.119,0.806,0.313,1.557,-0.169,1.074,-0.905,0.917,-1.067,0.916,0.151,19.512,0.577,-1.155,0.577,-0.869
2019-07-31,2019,7,31,3,0,1,4.915,0.685,0.661,0.245,0.948,-0.424,-0.719,1.142,0.666,-0.67,-0.48,1.149,-1.445,-0.44,-0.704,1.145,0.431,0.569,0.586,-1.155,0.586
2019-08-01,2019,8,1,3,1,0,0.377,0.605,0.524,-0.21,0.18,1.135,-0.381,-0.753,1.592,1.0,-1.0,0.0,8.583,1.149,-0.477,-0.673,0.699,0.577,-1.155,0.577,-177.824
2019-08-02,2019,8,2,3,0,0,1.818,1.135,0.7,-0.19,0.183,0.95,0.093,-1.043,-1.322,0.218,0.873,-1.091,-0.109,1.059,-0.13,-0.929,-1.025,1.154,-0.535,-0.619,-0.535
